date,issue,grp,species,spec,market,tier,low,high,unit,publisher,note
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,青岛抚顺路蔬菜副食品批发市场,批发,19.00,19.00,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,20.00,20.00,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,湖北浠水农产品批发市场,批发,21.10,21.10,元/公斤,农业农村部信息中心,
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,西藏领峰农副产品批发市场,批发,24.50,24.50,元/公斤,农业农村部信息中心,拉萨
2026-09-23,152,鲢鳙类,花鲢活鱼,活鱼,新疆兵团三和农产品批发市场,批发,25.00,25.00,元/公斤,农业农村部信息中心,
2026-09-23,152,指数,农产品批发价格200指数,-,全国,指数,116.33,116.33,点,农业农村部市场与信息化司,较昨日降0.24点
2026-09-23,152,指数,菜篮子产品批发价格指数,-,全国,指数,116.90,116.90,点,农业农村部市场与信息化司,较昨日降0.29点
2026-09-23,152,指数,白鲢鱼,全国批发均价,全国,均价,9.98,9.98,元/公斤,农业农村部市场与信息化司,较昨日降0.3%
2026-09-23,152,鲑鳟类,三文鱼,冰鲜,重庆龙门西三街农副产品市场,批发,190.00,190.00,元/公斤,农业农村部信息中心,与前一日持平
2026-09-24,153,鲑鳟类,三文鱼,冰鲜·进口商直采,渠道采购口径,渠道,140.00,160.00,元/公斤,行业采购指南,月内渠道跟踪快照·起订量不低于50kg
2026-09-24,153,鲑鳟类,三文鱼,冰鲜·一级批发市场,渠道采购口径,渠道,145.00,170.00,元/公斤,行业采购指南,月内渠道跟踪快照
2026-09-24,153,鲑鳟类,三文鱼,冰鲜·线上B2B平台,渠道采购口径,渠道,130.00,150.00,元/公斤,行业采购指南,月内渠道跟踪快照
2026-09-24,153,鲑鳟类,三文鱼,冷冻·智利,渠道采购口径,渠道,110.00,110.00,元/公斤,行业采购指南,月内渠道跟踪快照·口径下限
2026-09-24,153,鲢鳙类,花鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,20.00,20.00,元/公斤,农业农村部信息中心,当日13:00发布
2026-09-24,153,鲢鳙类,白鲢活鱼,活鱼,北京京丰岳各庄农副产品批发市场,批发,8.40,8.40,元/公斤,农业农村部信息中心,当日13:00发布
